id,clave,descripcion
catalogo.otropago01,001,Reintegro de ISR pagado en exceso (siempre que no haya sido enterado al SAT).
catalogo.otropago02,002,Subsidio para el empleo (efectivamente entregado al trabajador).
catalogo.otropago03,003,Viáticos (entregados al trabajador).
catalogo.otropago04,004,Aplicación de saldo a favor por compensación anual.
catalogo.otropago05,005,Reintegro de ISR retenido en exceso de ejercicio anterior (siempre que no haya sido enterado al SAT).
catalogo.otropago06,999,"Pagos distintos a los listados y que no deben considerarse como ingreso por sueldos, salarios o ingresos asimilados."
